Teller,TijdISO,SecondenSindsMiddernacht,Pin
90210,2019-12-31T07:33:47.478184,27227.478184,17
90211,2019-12-31T07:33:51.558094,27231.558094,17
90212,2019-12-31T07:33:52.098207,27232.098207,17
90213,2019-12-31T07:33:56.154665,27236.154665,17
90214,2019-12-31T07:33:56.708160,27236.70816,17
90215,2019-12-31T07:34:00.760091,27240.760091,17
90216,2019-12-31T07:34:01.382137,27241.382137,17
90217,2019-12-31T07:34:05.472384,27245.472384,17
90218,2019-12-31T07:34:44.143894,27284.143894,17
90219,2019-12-31T07:34:47.572824,27287.572824,17
90220,2019-12-31T07:34:47.866068,27287.866068,17
90221,2019-12-31T07:35:03.401587,27303.401587,17
90222,2019-12-31T07:35:03.775572,27303.775572,17
90223,2019-12-31T07:45:01.648536,27901.648536,17
90224,2019-12-31T07:47:56.976997,28076.976997,17
90225,2019-12-31T07:48:37.287293,28117.287293,17
90226,2019-12-31T07:48:42.208095,28122.208095,17
90227,2019-12-31T07:55:37.168477,28537.168477,17
90228,2019-12-31T07:55:37.885674,28537.885674,17
90229,2019-12-31T08:00:04.613209,28804.613209,17
90230,2019-12-31T08:00:05.253886,28805.253886,17
90231,2019-12-31T08:00:28.745308,28828.745308,17
90232,2019-12-31T08:00:29.318735,28829.318735,17
90233,2019-12-31T08:01:52.289668,28912.289668,17
90234,2019-12-31T08:07:52.174581,29272.174581,17
90235,2019-12-31T08:14:43.291755,29683.291755,17
90236,2019-12-31T08:17:13.346927,29833.346927,17
90237,2019-12-31T08:17:36.328833,29856.328833,17
90238,2019-12-31T08:17:36.621133,29856.621133,17
90239,2019-12-31T08:17:40.054800,29860.0548,17
90240,2019-12-31T08:17:40.330742,29860.330742,17
90241,2019-12-31T08:17:43.705275,29863.705275,17
90242,2019-12-31T08:17:43.761117,29863.761117,17
90243,2019-12-31T08:17:46.429967,29866.429967,17
90244,2019-12-31T08:17:49.316806,29869.316806,17
90245,2019-12-31T08:17:49.522714,29869.522714,17
90246,2019-12-31T08:17:52.745093,29872.745093,17
90247,2019-12-31T08:17:52.956104,29872.956104,17
90248,2019-12-31T08:17:56.165076,29876.165076,17
90249,2019-12-31T08:17:56.393855,29876.393855,17
90250,2019-12-31T08:17:59.620781,29879.620781,17
90251,2019-12-31T08:17:59.817950,29879.81795,17
90252,2019-12-31T08:18:03.019758,29883.019758,17
90253,2019-12-31T08:18:03.204065,29883.204065,17
90254,2019-12-31T08:18:06.424531,29886.424531,17
90255,2019-12-31T08:18:06.644413,29886.644413,17
90256,2019-12-31T08:18:09.862623,29889.862623,17
90257,2019-12-31T08:18:10.078594,29890.078594,17
90258,2019-12-31T08:18:13.318568,29893.318568,17
90259,2019-12-31T08:18:13.507131,29893.507131,17
90260,2019-12-31T08:18:16.710063,29896.710063,17
90261,2019-12-31T08:18:16.947766,29896.947766,17
90262,2019-12-31T08:18:20.194548,29900.194548,17
90263,2019-12-31T08:18:20.418822,29900.418822,17
90264,2019-12-31T08:18:23.616005,29903.616005,17
90265,2019-12-31T08:18:23.807816,29903.807816,17
90266,2019-12-31T08:18:27.012019,29907.012019,17
90267,2019-12-31T08:18:27.213069,29907.213069,17
90268,2019-12-31T08:18:30.418464,29910.418464,17
90269,2019-12-31T08:18:30.652441,29910.652441,17
90270,2019-12-31T08:18:33.892472,29913.892472,17
90271,2019-12-31T08:18:34.117111,29914.117111,17
90272,2019-12-31T08:18:37.361156,29917.361156,17
90273,2019-12-31T08:18:37.565272,29917.565272,17
90274,2019-12-31T08:18:40.815137,29920.815137,17
90275,2019-12-31T08:18:41.047415,29921.047415,17
90276,2019-12-31T08:18:44.242629,29924.242629,17
90277,2019-12-31T08:18:44.486241,29924.486241,17
90278,2019-12-31T08:18:47.716396,29927.716396,17
90279,2019-12-31T08:18:47.914501,29927.914501,17
90280,2019-12-31T08:18:55.960350,29935.96035,17
90281,2019-12-31T08:18:56.134320,29936.13432,17
90282,2019-12-31T08:18:59.362296,29939.362296,17
90283,2019-12-31T08:18:59.576096,29939.576096,17
90284,2019-12-31T08:19:02.797459,29942.797459,17
90285,2019-12-31T08:19:03.021664,29943.021664,17
90286,2019-12-31T08:19:17.524220,29957.52422,17
90287,2019-12-31T08:19:32.644093,29972.644093,17
90288,2019-12-31T08:20:34.666175,30034.666175,17
90289,2019-12-31T08:20:34.929156,30034.929156,17
90290,2019-12-31T08:20:38.325386,30038.325386,17
90291,2019-12-31T08:20:38.609943,30038.609943,17
90292,2019-12-31T08:20:41.977547,30041.977547,17
90293,2019-12-31T08:20:42.263193,30042.263193,17
90294,2019-12-31T08:20:45.633667,30045.633667,17
90295,2019-12-31T08:20:45.890045,30045.890045,17
90296,2019-12-31T08:20:49.253367,30049.253367,17
90297,2019-12-31T08:20:49.537427,30049.537427,17
90298,2019-12-31T08:20:52.671601,30052.671601,17
90299,2019-12-31T08:20:52.945474,30052.945474,17
90300,2019-12-31T08:20:56.320163,30056.320163,17
90301,2019-12-31T08:20:56.596653,30056.596653,17
90302,2019-12-31T08:20:59.979690,30059.97969,17
90303,2019-12-31T08:21:00.238189,30060.238189,17
90304,2019-12-31T08:21:03.579564,30063.579564,17
90305,2019-12-31T08:21:03.875797,30063.875797,17
90306,2019-12-31T08:21:07.214469,30067.214469,17
90307,2019-12-31T08:21:07.476285,30067.476285,17
90308,2019-12-31T08:21:10.810037,30070.810037,17
90309,2019-12-31T08:21:11.058764,30071.058764,17
90310,2019-12-31T08:21:14.398811,30074.398811,17
90311,2019-12-31T08:21:14.672696,30074.672696,17
90312,2019-12-31T08:21:18.015443,30078.015443,17
90313,2019-12-31T08:21:18.290908,30078.290908,17
90314,2019-12-31T08:21:21.616265,30081.616265,17
90315,2019-12-31T08:21:21.871280,30081.87128,17
90316,2019-12-31T08:21:25.197398,30085.197398,17
90317,2019-12-31T08:21:25.453258,30085.453258,17
90318,2019-12-31T08:21:28.777762,30088.777762,17
90319,2019-12-31T08:21:29.047352,30089.047352,17
90320,2019-12-31T08:21:32.361388,30092.361388,17
90321,2019-12-31T08:21:32.618736,30092.618736,17
90322,2019-12-31T08:21:35.933573,30095.933573,17
90323,2019-12-31T08:21:36.212939,30096.212939,17
90324,2019-12-31T08:22:17.091533,30137.091533,17
90325,2019-12-31T08:22:17.481587,30137.481587,17
90326,2019-12-31T08:22:21.155657,30141.155657,17
90327,2019-12-31T08:22:21.536132,30141.536132,17
90328,2019-12-31T08:22:25.134957,30145.134957,17
90329,2019-12-31T08:22:25.490480,30145.49048,17
90330,2019-12-31T08:22:29.109992,30149.109992,17
90331,2019-12-31T08:22:29.485930,30149.48593,17
90332,2019-12-31T08:22:33.066072,30153.066072,17
90333,2019-12-31T08:22:33.440839,30153.440839,17
90334,2019-12-31T08:22:37.003347,30157.003347,17
90335,2019-12-31T08:22:37.368599,30157.368599,17
90336,2019-12-31T08:22:40.917362,30160.917362,17
90337,2019-12-31T08:22:41.282478,30161.282478,17
90338,2019-12-31T08:22:44.827976,30164.827976,17
90339,2019-12-31T08:22:44.916045,30164.916045,17
90340,2019-12-31T08:23:54.310231,30234.310231,17
90341,2019-12-31T08:23:54.923307,30234.923307,17
90342,2019-12-31T08:23:59.486991,30239.486991,17
90343,2019-12-31T08:24:00.497943,30240.497943,17
90344,2019-12-31T08:24:07.467083,30247.467083,17
90345,2019-12-31T08:24:10.650737,30250.650737,17
90346,2019-12-31T08:24:33.296298,30273.296298,17
90347,2019-12-31T08:24:34.088265,30274.088265,17
90348,2019-12-31T08:25:29.663290,30329.66329,17
90349,2019-12-31T08:26:00.488511,30360.488511,17
90350,2019-12-31T08:26:09.588182,30369.588182,17
90351,2019-12-31T08:26:11.807984,30371.807984,17
90352,2019-12-31T08:26:32.766362,30392.766362,17
90353,2019-12-31T08:27:26.854660,30446.85466,17
90354,2019-12-31T08:29:06.516441,30546.516441,17
90355,2019-12-31T08:29:08.304475,30548.304475,17
90356,2019-12-31T08:29:15.398112,30555.398112,17
90357,2019-12-31T08:29:17.112766,30557.112766,17
90358,2019-12-31T08:29:24.174501,30564.174501,17
90359,2019-12-31T08:29:26.009032,30566.009032,17
90360,2019-12-31T08:29:33.084480,30573.08448,17
90361,2019-12-31T08:29:34.884449,30574.884449,17
90362,2019-12-31T08:30:28.661635,30628.661635,17
90363,2019-12-31T08:30:29.086230,30629.08623,17
90364,2019-12-31T08:30:32.160110,30632.16011,17
90365,2019-12-31T08:30:32.327640,30632.32764,17
90366,2019-12-31T08:30:38.910057,30638.910057,17
90367,2019-12-31T08:30:40.564613,30640.564613,17
90368,2019-12-31T08:31:05.346375,30665.346375,17
90369,2019-12-31T08:31:06.355990,30666.35599,17
90370,2019-12-31T08:31:35.301503,30695.301503,17
90371,2019-12-31T08:31:48.158470,30708.15847,17
90372,2019-12-31T08:32:14.777505,30734.777505,17
